,date,value,action,reward,balance,coin
0,,100000000.0,8.0,-1.666623207301271,-10000.0,4.741021690174232
1,,99954442.3373237,5.0,-0.21342186388424997,-10000.0,4.741021690174232
2,,99940219.27225317,3.0,-5.327155867564325,299790674.7509779,-9.481094703752317
3,,99772760.33326712,1.0,-0.19333657241723326,149634150.07044226,-2.3646756649981544
4,,99751316.91730618,1.0,-0.40667101208827183,149616999.52679813,-2.364335551488651
5,,99737794.56481782,6.0,-0.3988315597374118,74795864.55825305,1.181923477411156
6,,99722039.73511562,3.0,-0.48867445885402966,299143682.17988217,-9.457032147288045
7,,99723245.29001915,6.0,-0.0255281690140664,74769998.84269312,1.1822834600704124
8,,99704948.15730816,3.0,-0.061933097840315234,299092409.98736155,-9.454962960319401
9,,99720333.5245865,7.0,0.3723739122186665,49835243.53797075,2.3645539450498303
10,,99720238.11668703,6.0,-0.11445347679760963,74782697.08210447,1.1816874213950683
11,,99713938.29869762,5.0,-0.28438714570095,74782697.08210447,1.1816874213950683
12,,99709211.54901205,7.0,-0.47775789323971934,49847127.66248188,2.363449595833224
13,,99695824.81299832,6.0,-0.594447407723384,74764391.34441337,1.1817061945925886
14,,99673576.22023055,6.0,-0.16778843873050295,74750199.40727982,1.1821430834032751
15,,99668002.39079575,0.0,-0.4702635386768275,124585003.06873327,-1.1821050168512437
16,,99657363.52588268,6.0,0.2602608180202045,74738038.44636956,1.1814743749363683
17,,99667738.4947144,5.0,-0.035544181417490606,74738038.44636956,1.1814743749363683
18,,99668329.23190187,1.0,-0.2644531064878699,149495017.40231264,-2.3616968208118543
19,,99662033.6347721,4.0,-1.7999999999999998,398613252.6306212,-14.169621615806085
20,,99627151.72630489,5.0,-0.39098599559249997,398613252.6306212,-14.169621615806085
21,,99705084.64519185,7.0,-1.1176475468119755,49817666.2515651,2.3632397403458603
22,,99643031.31714705,1.0,-0.2288472027888544,149454582.28764814,-2.3630571612196043
23,,99635429.68623583,1.0,-0.7980932052649423,149443180.8426093,-2.3629889644547806
24,,99608925.07674019,1.0,-0.3,149403423.74327987,-2.361576260146997
25,,99598961.20490977,1.0,-0.3,149388481.41305056,-2.361340031885767
