index,open,high,low,close,volume,value
2023-01-01 09:00:00,21079000.0,21082000.0,21061000.0,21081000.0,4.85201383,102241235.21498
2023-01-01 09:01:00,21080000.0,21080000.0,21061000.0,21061000.0,2.09932903,44221678.86785
2023-01-01 09:02:00,21062000.0,21062000.0,21055000.0,21062000.0,2.48612699,52355056.74772
2023-01-01 09:03:00,21057000.0,21078000.0,21055000.0,21064000.0,1.74454904,36748151.09275
2023-01-01 09:04:00,21063000.0,21077000.0,21056000.0,21064000.0,1.43339912,30193575.59886
2023-01-01 09:05:00,21055000.0,21057000.0,21046000.0,21054000.0,1.66241138,35001204.35907
2023-01-01 09:06:00,21050000.0,21055000.0,21044000.0,21054000.0,3.21247708,67624978.65897
2023-01-01 09:07:00,21054000.0,21054000.0,21051000.0,21054000.0,2.08444914,43881504.87035
2023-01-01 09:08:00,21054000.0,21054000.0,21051000.0,21054000.0,2.95460858,62199182.51669
2023-01-01 09:09:00,21054000.0,21054000.0,21040000.0,21040000.0,4.06829025,85619514.77924
2023-01-01 09:10:00,21040000.0,21040000.0,21017000.0,21017000.0,2.60801661,54831518.00847
2023-01-01 09:11:00,21017000.0,21037000.0,21013000.0,21016000.0,4.14162849,87048240.5181
2023-01-01 09:12:00,21015000.0,21036000.0,21014000.0,21021000.0,1.20391229,25310354.36013
2023-01-01 09:13:00,21033000.0,21033000.0,21008000.0,21019000.0,1.1290251,23727268.012
2023-01-01 09:14:00,21011000.0,21019000.0,21008000.0,21012000.0,1.25990147,26476007.61457
2023-01-01 09:15:00,21012000.0,21019000.0,21007000.0,21019000.0,2.17839033,45778483.03587
2023-01-01 09:16:00,21019000.0,21019000.0,21003000.0,21008000.0,1.54468493,32451605.89452
2023-01-01 09:17:00,21005000.0,21009000.0,21002000.0,21003000.0,2.81731225,59181418.86397
2023-01-01 09:18:00,21003000.0,21009000.0,21003000.0,21007000.0,6.54736068,137537196.77664
2023-01-01 09:19:00,21003000.0,21018000.0,21002000.0,21010000.0,4.56542944,95915313.00948
2023-01-01 09:20:00,21018000.0,21034000.0,21006000.0,21034000.0,2.40012964,50439247.50102
2023-01-01 09:21:00,21022000.0,21035000.0,21016000.0,21023000.0,2.0985685,44132634.72113
2023-01-01 09:22:00,21023000.0,21041000.0,21022000.0,21034000.0,1.16226857,24436375.27582
2023-01-01 09:23:00,21049000.0,21050000.0,21026000.0,21048000.0,1.93794784,40781262.42924
2023-01-01 09:24:00,21048000.0,21052000.0,21048000.0,21048000.0,1.52405214,32081065.02766
2023-01-01 09:25:00,21048000.0,21054000.0,21040000.0,21053000.0,0.9762935,20551506.19905
2023-01-01 09:26:00,21054000.0,21055000.0,21027000.0,21028000.0,1.67720332,35298019.42032
2023-01-01 09:27:00,21031000.0,21055000.0,21030000.0,21030000.0,1.02324918,21526077.42111
2023-01-01 09:28:00,21054000.0,21054000.0,21031000.0,21054000.0,1.82855026,38473725.41916
2023-01-01 09:29:00,21036000.0,21069000.0,21036000.0,21069000.0,2.93230998,61733068.53812
2023-01-01 09:30:00,21055000.0,21069000.0,21055000.0,21068000.0,0.3384008,7126604.12715
2023-01-01 09:31:00,21068000.0,21068000.0,21032000.0,21036000.0,6.53148635,137450538.92191
2023-01-01 09:32:00,21033000.0,21048000.0,21032000.0,21032000.0,2.47672827,52113932.80565
2023-01-01 09:33:00,21033000.0,21048000.0,21032000.0,21045000.0,2.12364469,44668698.71463
2023-01-01 09:34:00,21045000.0,21048000.0,21032000.0,21048000.0,6.2311498,131070911.70213
2023-01-01 09:35:00,21048000.0,21048000.0,21030000.0,21031000.0,1.28742462,27084185.06976
2023-01-01 09:36:00,21032000.0,21047000.0,21032000.0,21046000.0,0.46600916,9806421.3686
2023-01-01 09:37:00,21032000.0,21032000.0,21022000.0,21028000.0,2.88070861,60574282.59523
2023-01-01 09:38:00,21026000.0,21028000.0,21016000.0,21028000.0,2.58869224,54421147.36273
2023-01-01 09:39:00,21028000.0,21042000.0,21014000.0,21042000.0,1.54668391,32517713.36587
2023-01-01 09:40:00,21042000.0,21048000.0,21028000.0,21047000.0,0.45074815,9483828.59959
2023-01-01 09:41:00,21046000.0,21050000.0,21031000.0,21048000.0,1.5514396,32652788.28247
