,date,value,action,reward
0,,100000000.0,4.0,-177.78831338154998
1,,100000000.0,1.0,-7.114062129474999
2,,100000000.0,7.0,17.1947633051875
3,,100001878.37966037,7.0,-3.555092076884536
4,,99995456.32781017,10.0,17.776724342277728
5,,99953994.28386937,6.0,-82.95214846065
6,,99872584.55144143,7.0,-5.92712013087
7,,99846252.42212445,8.0,10.37368995115625
8,,99867768.72855076,2.0,-23.707356392687498
9,,99828894.30470875,1.0,12.448723116684999
10,,99930939.66729403,1.0,1.1850026070070463
11,,99940658.27325451,7.0,-9.479571523365001
12,,99894888.4090864,8.0,-14.8146392339
13,,99853945.2050691,1.0,-29.632790460605
14,,99711723.25912681,7.0,-1.1860145168185454
15,,99700797.65279156,7.0,10.6743838508425
16,,99806737.33408794,5.0,-308.239478364
17,,99966982.85513586,7.0,0.5924030236248434
18,,99968383.57953876,7.0,-1.1847779726070762
19,,99956746.84737492,1.0,0.0
20,,99956746.84737492,7.0,-13.03286651975
21,,99876131.48116791,1.0,-27.257643991465002
22,,99718025.6336245,7.0,-2.3715227547627116
23,,99698803.46880913,7.0,8.3007233487475
24,,99796682.70631528,6.0,0.0
25,,99771685.07716334,9.0,0.0
26,,99746687.4480114,7.0,-14.22508831409
27,,99622210.93087935,7.0,0.5928806886879023
28,,99627404.97340119,7.0,0.0
29,,99622405.44769448,1.0,0.0
30,,99622405.44769448,7.0,-2.3714665148943936
31,,99596070.19894731,4.0,5.928947493238912
32,,99606738.06046754,1.0,-3.5572841321385162
33,,99574734.47590679,10.0,-35.5753723555452
34,,99485620.56025791,8.0,0.0
35,,99473121.74618804,7.0,-20.160812124945
36,,99232337.25089192,7.0,1.1864085041779493
37,,99255551.6970532,7.0,-2.3727044084820292
38,,99221863.65911436,7.0,2.3728170083503475
39,,99275190.28544033,7.0,1.1862959096498038
40,,99299828.35420394,9.0,-65.243179122175
41,,99098775.32251036,7.0,0.0
42,,99093775.79713011,2.0,0.0
43,,99093775.79713011,7.0,-7.119295664345
44,,98989898.33302617,9.0,-5.9335912467595175
45,,98947234.33175933,3.0,2.96686604006613
