,date,value,action,reward
0,,100000000.0,9.0,-0.18133839042314398
1,,99848884.67464739,1.0,-240.03253687455535
2,,99781809.36739835,5.0,-0.041267431932450006
3,,99816221.50873105,1.0,-0.028266110492261444
4,,99788013.42618921,8.0,-60.0394671723157
5,,99737064.30033347,1.0,-120.04390851563055
6,,99688046.56232661,4.0,-60.18667526494226
7,,99609410.51438576,10.0,-360.0842475458814
8,,99251127.2564826,9.0,-360.141518124274
9,,99978818.82906628,8.0,-239.9882461290399
10,,99393866.7209053,5.0,-0.002844006256816911
11,,99491986.3647685,10.0,-0.21225291496822798
12,,102149545.82042217,5.0,-0.007111026832272
13,,102850075.34686661,10.0,-0.357356091316356
14,,82579708.43138885,1.0,-1.0
