,date,value,action,reward,balance,coin
86,,99465587.91198158,1.0,0.2528065630397411,149190922.24769732,-2.3532682213542855
87,,99478131.07158804,6.0,0.18561982248524256,74601140.07129663,1.1772559890128762
88,,99483034.02707827,6.0,-0.4515950651746302,74607300.25506246,1.1767291290373811
89,,99468056.56423521,7.0,-0.47748023855726435,49726568.80365848,2.354050659446093
90,,99454711.95912746,0.0,-0.30978307178868286,124320876.39542589,-1.1770066978996836
91,,99451901.87550348,1.0,-0.26450021297735804,149170393.32070944,-2.353445545825725
92,,99445619.10573061,7.0,-0.5129611661972056,49712864.79448853,2.353352559474894
93,,99428614.2896754,7.0,-0.26450143191865566,49704364.1391737,2.353284284151272
94,,99419847.92615348,1.0,-0.4065144845213192,149119829.34845522,-2.353021109678914
95,,99406375.85371396,1.0,-0.7615299964501065,149099622.1164288,-2.3525352231384207
96,,99381142.71062142,1.0,0.1344900397463337,149061773.160856,-2.3512146945826964
97,,99386484.70106009,1.0,0.1346083303749637,149069790.19850913,-2.3520644823348738
98,,99391836.26711425,0.0,-0.3453227830121186,124242278.33337927,-1.1764575099085537
99,,99387848.7502962,7.0,-0.33549688779494746,49686469.53975228,2.3522080976568813
100,,99379217.81085156,0.0,-0.1855048281737731,124226507.0579463,-1.1760297478326653
101,,99380526.57548557,0.0,-0.203254721446511,124225658.30424082,-1.17598956992812
102,,99378762.67601454,1.0,-0.47750313557495355,149060690.38632518,-2.3517704209010235
103,,99365429.62226565,7.0,-0.86782925559598,49672777.0135753,2.351176698269501
104,,99336682.41112196,0.0,0.20050714860573954,124173335.98738194,-1.17569334861433
105,,99352098.0114362,5.0,-0.07104964001503067,124173335.98738194,-1.17569334861433
106,,99350922.31808758,7.0,0.16439515938057092,49668011.37156096,2.3528376431129536
107,,99359942.39410654,1.0,0.01636186079547725,149029976.40093786,-2.35227136349684
108,,99360590.42502034,7.0,-0.3,49670360.244391315,2.352788009401159
109,,99350655.45690149,6.0,-0.1322423101512822,74505539.79676844,1.1762763782162569
110,,99343791.79918292,0.0,-0.30984739060434635,124179739.97938392,-1.176167264150205
