,date,value,action,reward
0,,100000000.0,0.0,-0.022667298802892998
1,,99998889.41566908,2.0,-30.065073749110738
2,,99956680.7039466,4.0,-119.8963954084053
3,,99172665.24380338,3.0,-360.1130644419691
4,,98393152.01765203,7.0,-240.01973358615783
5,,97502792.45169365,6.0,-60.021954257815274
6,,97306188.38600457,0.0,-30.015556272078523
7,,97213984.48850861,5.0,-0.00995874235311
8,,97202418.1107023,1.0,-0.035379531068490004
9,,97156986.2311075,2.0,-59.98824612903991
10,,96961451.08145377,1.0,-120.02115599374316
11,,96827070.07340306,9.0,-60.14150194331214
12,,96493658.78932518,7.0,-240.03111102683226
13,,96402321.7492984,1.0,-60.059559348552725
14,,96354717.70512983,0.0,-60.012711608710084
15,,96275600.60895479,7.0,-29.998381478757977
16,,96253888.44887614,10.0,-59.92206757557792
17,,96234608.10066774,5.0,-0.0014217672566996242
18,,96235910.93893059,9.0,-0.10168693426851397
19,,96178960.11135438,10.0,-240.14399999999995
20,,96129549.44409259,2.0,-360.07927887964735
21,,96105461.9251887,5.0,-0.032709172789758004
22,,96135496.3724702,9.0,-0.10738330922286102
23,,95978168.78619134,6.0,-240.00203913198152
24,,95860722.65850051,3.0,-30.096
25,,95722091.82307696,5.0,-0.0
26,,95722091.82307696,2.0,-0.082140211953816
27,,95558985.48373514,4.0,-120.13546251808289
28,,94784817.5861032,0.0,-360.01200000000006
29,,94046129.10819119,3.0,-30.096
30,,93504930.76193678,2.0,-240.05369151963575
31,,92745962.75716281,9.0,-120.09030821040648
32,,91456575.48749399,3.0,-240.11307496383426
33,,91989629.1235447,6.0,-240.01413452234135
34,,90731284.79355311,1.0,-30.023999999999994
35,,90063913.73078334,7.0,-60.048192974549934
36,,89557691.300181,9.0,-1.0
