,date,value,action,reward
0,,100000000.0,7.0,-17.778831338155
1,,99991444.70783454,3.0,-35.570310647374995
2,,99990022.40132749,7.0,17.1947633051875
3,,99998775.26243861,7.0,-3.555092076884536
4,,99991642.05733487,7.0,1.7776724342277728
5,,99989487.27947056,7.0,-16.59042969213
6,,99967894.17645913,7.0,-5.92712013087
7,,99955782.94909409,7.0,4.149475980462499
8,,99962399.5958606,7.0,-9.482942557075
9,,99942227.85573554,3.0,62.24361558342499
10,,99982054.91820006,0.0,5.9250130350352315
11,,99985847.97176811,7.0,-9.479571523365001
12,,99963780.31716982,7.0,-5.92585569356
13,,99946928.03973901,7.0,-29.632790460605
14,,99876738.19827527,4.0,-11.860145168185454
15,,99874130.58565173,4.0,106.74383850842499
16,,99921067.61287539,8.0,38.5299347955
17,,99991778.700542,7.0,0.5924030236248434
18,,99990216.516525,7.0,-1.1847779726070762
19,,99981542.69278106,3.0,0.0
20,,99981542.69278106,7.0,-13.03286651975
21,,99933519.3191931,7.0,-27.257643991465002
22,,99833109.31055543,1.0,-2.3715227547627116
23,,99824812.74684381,1.0,8.3007233487475
24,,99882888.69282517,1.0,0.0
25,,99882888.69282517,1.0,0.0
26,,99882888.69282517,10.0,-142.2508831409
27,,99754663.87562335,0.0,2.9644034434395117
28,,99761183.00553155,7.0,0.0
29,,99756183.47982484,7.0,0.0
30,,99751183.95411813,8.0,-5.928666287235984
31,,99723512.56017166,7.0,0.5928947493238912
32,,99726336.48222709,7.0,-3.5572841321385162
33,,99697155.15648639,7.0,-3.5575372355545203
34,,99667262.32333243,7.0,0.0
35,,99662262.79770446,7.0,-20.160812124945
36,,99508136.87143672,0.0,5.9320425208897465
37,,99525681.15386492,3.0,-11.863522042410146
38,,99508136.87143672,1.0,2.3728170083503475
39,,99543225.43629313,7.0,1.1862959096498038
40,,99556244.71160358,1.0,-13.048635824435
41,,99457141.30724716,7.0,0.0
42,,99452141.78186691,2.0,0.0
43,,99452141.78186691,7.0,-7.119295664345
44,,99390238.13584465,1.0,-1.1867182493519035
45,,99380754.11573768,7.0,0.593373208013226
46,,99385475.95982641,3.0,-29.667956233825
47,,99336869.1128754,7.0,-15.429168249145
48,,99202405.95189673,4.0,-225.57283628159996
49,,99013189.86891788,7.0,2.9694032687200003
50,,99059171.81137699,7.0,5.344291109475
51,,99148076.6441071,7.0,6.530515317025
52,,99260461.31790292,7.0,3.5611690130825
53,,99320914.00515753,9.0,2.967218173610675
54,,99308011.96827352,7.0,0.0
55,,99303012.44301718,1.0,5.93429548044
56,,99426342.05462396,9.0,8.899330770334446
57,,99441903.04356909,8.0,29.66232410240625
58,,99711659.9316374,6.0,62.261331562337496
59,,100007935.3227768,7.0,-10.668057465264999
60,,99863113.7485857,7.0,-27.268631588930003
61,,99495337.48411381,6.0,41.5183867141125
62,,99707767.83484066,7.0,1.1858457451829896
63,,99737160.93008375,7.0,0.0
64,,99732161.40439963,7.0,0.0
65,,99727161.87871552,7.0,5.336052743915
66,,99883332.4103961,1.0,7.1132187314725
67,,100098225.82021558,2.0,4.444497119962532
68,,100151949.17267048,4.0,29.627873903749997
69,,100241488.09342861,3.0,17.774617845712502
70,,100348934.7983383,7.0,1.7772090708745303
71,,100398369.50834394,7.0,1.7770827409724355
72,,100448515.05141222,2.0,0.0
73,,100448515.05141222,7.0,11.254057383845002
74,,100797269.25302517,4.0,17.76156870175738
75,,100853125.10477638,7.0,4.736081839495
76,,100998968.94912362,7.0,5.9189809882325
77,,101184891.22846127,2.0,0.0
78,,101184891.22846127,7.0,2.9587899732500005
79,,101276536.1207664,7.0,-3.5501278046023987
80,,101212839.91721654,7.0,0.0
81,,101207840.39060044,7.0,10.05940969017
82,,101543502.89417124,6.0,73.9364974211
83,,102049053.43291187,8.0,-5.911423234264412
84,,101992928.47672784,7.0,-13.005746175125
85,,101745384.03885138,8.0,-32.522825109974995
86,,101483835.74566495,7.0,-20.110251496440004
87,,101089919.52407634,3.0,62.13017751479999
88,,101570346.02938175,9.0,-100.54174256579999
89,,101136323.35178554,7.0,-5.91659961187
90,,101009839.02187216,3.0,26.627849179862498
91,,101228511.66770637,7.0,-1.1832079132967355
92,,101198978.53875864,0.0,-35.497077407275
93,,101051776.9253732,7.0,0.5917019715528937
94,,101071547.68175423,7.0,1.775063902298424
95,,101141569.02972412,8.0,19.2284936693875
96,,101461852.06716824,7.0,-15.378063783474998
97,,101120995.07343054,7.0,-15.382794935505002
98,,100777061.52085114,7.0,6.510108422895
99,,101061456.36728716,9.0,-5.91673963978856
100,,101008966.80669379,2.0,2.95843983716404
101,,101063950.66127229,4.0,17.749798835620112
102,,101146426.44313979,7.0,2.9580897839374996
103,,101280069.7887938,7.0,-18.92953480668
104,,100827627.16352034,0.0,-130.18984045825
105,,100212392.90306664,7.0,1.1841606669171778
106,,100263797.42831159,9.0,41.4436603040875
107,,100650205.62170744,7.0,-10.653409090910001
108,,100378600.24003983,1.0,0.0
109,,100378600.24003983,4.0,5.919821931765767
110,,100408223.11283445,7.0,5.32771358212
111,,100671960.52699447,7.0,2.959210245965
112,,100817442.98489189,2.0,-8.876580031250136
113,,100727153.79423761,4.0,11.8362805671679
114,,100787346.58800697,7.0,-1.1835720203579039
115,,100752013.95014715,0.0,-5.918000189369941
116,,100721680.83885837,7.0,-1.18362805671679
