,date,value,action,reward
0,,100000000.0,7.0,-17.778831338155
1,,99991444.70783454,7.0,-7.114062129474999
2,,99983600.0631724,7.0,17.1947633051875
3,,99999229.85100868,7.0,-3.555092076884536
4,,99991385.239692,9.0,8.888362171138864
5,,99972788.04011932,1.0,-16.59042969213
6,,99942919.36586472,4.0,-59.27120130869999
7,,99932251.98220237,7.0,4.149475980462499
8,,99943846.58394767,7.0,-9.482942557075
9,,99917985.75241826,7.0,12.448723116684999
10,,99972726.64330292,7.0,1.1850026070070463
11,,99973890.681837,7.0,-9.479571523365001
12,,99942340.98337871,6.0,-29.6292784678
13,,99894823.64025438,6.0,-148.16395230302498
14,,99727594.65308398,1.0,-1.1860145168185454
15,,99721905.39877224,0.0,53.37191925421249
16,,99824311.97638366,7.0,15.411973918200003
17,,99973397.8522709,7.0,0.5924030236248434
18,,99974561.64900556,7.0,-1.1847779726070762
19,,99963161.84450996,7.0,0.0
20,,99958162.31843239,7.0,-13.03286651975
21,,99877546.58327246,8.0,-68.1441099786625
22,,99693312.32740134,7.0,-2.3715227547627116
23,,99672904.98054749,1.0,8.3007233487475
24,,99780759.72865653,7.0,0.0
25,,99775760.20282614,7.0,0.0
26,,99770760.67699575,7.0,-14.22508831409
27,,99664779.17122632,7.0,0.5928806886879023
28,,99668431.96280128,7.0,0.0
29,,99663432.43709457,7.0,0.0
30,,99658432.91138792,2.0,-5.928666287235984
31,,99640179.69024116,10.0,5.928947493238912
32,,99601682.6229698,7.0,-3.5572841321385162
33,,99561477.07173586,7.0,-3.5575372355545203
34,,99520560.01308864,6.0,0.0
35,,99495562.38494885,7.0,-20.160812124945
36,,99262837.19785285,7.0,1.1864085041779493
37,,99285103.49010825,1.0,-2.3727044084820292
38,,99257837.67241621,7.0,2.3728170083503475
39,,99308318.90916693,7.0,1.1862959096498038
40,,99331534.28314292,7.0,-13.048635824435
41,,99168743.08345723,7.0,0.0
42,,99163743.55807698,7.0,0.0
43,,99158744.03269672,7.0,-7.119295664345
44,,99063404.74400055,1.0,-1.1867182493519035
45,,99048348.11678123,1.0,0.593373208013226
46,,99063404.74400055,6.0,-29.667956233825
47,,98957190.3900938,7.0,-15.429168249145
48,,98737941.54009509,4.0,-225.57283628159996
49,,98424807.9116255,1.0,2.9694032687200003
50,,98507211.49806488,1.0,5.344291109475
51,,98655537.95365572,1.0,6.530515317025
52,,98836825.84382224,7.0,3.5611690130825
53,,98932135.08997726,7.0,0.593443634722135
54,,98944091.07074142,7.0,0.0
55,,98939091.54548502,9.0,29.6714774022
56,,99097891.28844929,2.0,4.449665385167223
57,,99153030.49922311,7.0,11.8649296409625
58,,99520371.6841687,7.0,12.4522663124675
59,,99911310.81093168,0.0,-53.340287326325
60,,99741622.81704986,7.0,-27.268631588930003
61,,99297522.46949339,3.0,41.5183867141125
62,,99564801.2305851,7.0,1.1858457451829896
63,,99598458.72337747,7.0,0.0
64,,99593459.19769335,10.0,0.0
65,,99543463.94085133,7.0,5.336052743915
66,,99738034.05138111,7.0,7.1132187314725
67,,100001972.6613735,1.0,1.7777988479850129
68,,100069207.19531798,8.0,7.406968475937499
69,,100171728.72439754,4.0,35.549235691425004
70,,100309753.13715482,7.0,1.7772090708745303
71,,100374476.70108426,7.0,1.7770827409724355
72,,100439911.09807646,7.0,0.0
73,,100434911.57193148,7.0,11.254057383845002
74,,100884996.80468202,1.0,1.776156870175738
75,,100956852.2929287,7.0,4.736081839495
76,,101145361.83459699,7.0,5.9189809882325
77,,101384616.23558605,7.0,0.0
78,,101379616.70899236,8.0,7.396974933125
79,,101493387.16220617,7.0,-3.5501278046023987
80,,101411916.048177,7.0,0.0
81,,101406916.5215609,7.0,10.05940969017
82,,101843303.51784825,7.0,14.787299484220002
83,,102493316.73863435,2.0,-5.911423234264412
84,,102440915.71882701,10.0,-130.05746175125
85,,102076703.34689832,10.0,-130.09130043989998
86,,101686472.7161119,7.0,-20.110251496440004
87,,101151632.85322762,10.0,124.26035502959998
88,,101805850.37940264,7.0,-20.10834851316
89,,101226752.16038013,7.0,-5.91659961187
90,,101051716.75726819,9.0,26.627849179862498
91,,101343434.84145212,6.0,-5.916039566483677
92,,101282063.36470294,3.0,-35.497077407275
93,,101063820.30571389,7.0,0.5917019715528937
94,,101095431.30302906,1.0,1.775063902298424
95,,101205262.87488937,7.0,7.691397467755001
96,,101679276.71858835,7.0,-15.378063783474998
97,,101192188.20862055,7.0,-15.382794935505002
98,,100702023.13981128,7.0,6.510108422895
99,,101110152.34613395,7.0,-1.183347927957712
100,,101067358.99235487,7.0,1.183375934865616
101,,101138420.47031593,7.0,1.7749798835620114
102,,101248222.44251347,3.0,14.790448919687497
103,,101439558.27396226,7.0,-18.92953480668
104,,100818498.17960262,7.0,-26.037968091649997
105,,99961207.77895427,6.0,5.920803334585889
106,,100016059.45716095,7.0,8.288732060817502
107,,100573320.59282422,7.0,-10.653409090910001
108,,100204737.10176277,7.0,0.0
109,,100199737.57534862,4.0,5.919821931765767
110,,100240372.58650875,2.0,13.3192839553
111,,100606087.68695045,4.0,29.592102459649997
112,,100809262.74275112,7.0,-3.5506320125000546
113,,100681648.05628586,7.0,1.18362805671679
114,,100758865.42088175,7.0,-1.1835720203579039
115,,100712520.73433399,3.0,-5.918000189369941
116,,100671175.57435751,7.0,-1.18362805671679
117,,100624594.1622212,10.0,5.91828038443154
118,,100618548.09458685,10.0,0.0
119,,100568552.82909918,7.0,-2.3672561134391317
120,,100470446.94361758,1.0,-2.3673681967761877
121,,100377340.58468509,7.0,-11.83740145363
122,,99904441.78322697,7.0,2.36804091974796
123,,100087549.18318486,7.0,0.0
124,,100082549.65674806,7.0,-3.5517249544203544
125,,99935049.24556732,1.0,-13.02391664693
126,,99412546.00150633,9.0,5.921504535877365
127,,99484917.56175184,2.0,-26.645508159450003
128,,99046756.1993556,10.0,17.76745949017
129,,99149921.70860624,1.0,-7.106478739780001
130,,98843600.16608334,7.0,-7.10748892416
131,,98530857.59960842,1.0,-2.3694997985934663
132,,98428276.5861721,6.0,2.962015118124217
133,,98455754.26854944,2.0,4.442917397276536
134,,98613180.20684528,10.0,35.5408126999
135,,98892253.14729166,3.0,0.0
136,,98892253.14729166,7.0,0.5922626803434028
137,,98942335.22645283,8.0,-29.61243248365
138,,98373097.8709464,7.0,0.0
139,,98368098.3448577,7.0,0.0
140,,98363098.81876898,8.0,0.0
141,,98350600.00354671,7.0,4.7391118904325
142,,98801417.3556199,8.0,-5.9227671167921825
143,,98673779.76720953,7.0,2.9615238817275
144,,98957811.78301573,7.0,-5.922346196665
145,,98662596.24560165,7.0,-1.1846095526901745
146,,98599316.59529495,7.0,-8.292463335459999
147,,98184697.70742702,4.0,-71.09004739334999
148,,97833595.39737844,0.0,-35.550078210174995
149,,97482493.08733034,7.0,-9.481369109695
150,,97007460.87417889,7.0,-1.185395922237431
151,,96943470.18325043,6.0,0.0
152,,96918472.55409813,7.0,2.3708480523465525
153,,97155127.72394133,7.0,0.0
154,,97150128.19806576,7.0,2.9632790460574996
155,,97449567.66501856,7.0,-2.3703422774246086
156,,97322318.47350025,1.0,-26.075001185225
157,,95977572.15204477,7.0,5.336305853334999
158,,96524830.64386511,7.0,7.7063524055674995
159,,97320619.68431664,4.0,11.852273265999802
160,,97443817.92527246,0.0,0.0
161,,97443817.92527246,7.0,0.5925855693589277
162,,97500654.55404663,7.0,7.110858280595
163,,98240533.22788525,3.0,-11.848060472496869
164,,98116386.86125517,7.0,-18.957795208415
165,,97114424.84311628,7.0,8.889837138179999
166,,98047633.58842468,7.0,-1.1848902791600224
167,,97979849.86624622,10.0,0.0
168,,97929854.60591936,7.0,-5.924591795625
169,,97597899.99726248,7.0,-10.665529010235
170,,97002248.21676064,7.0,0.0
171,,96997248.69088507,7.0,5.3339022829100005
172,,97587168.54136181,7.0,5.925293894575001
173,,98245560.66222286,7.0,-2.3695559452141524
174,,98107408.89557743,0.0,0.0
175,,98107408.89557743,10.0,17.772511848368477
176,,98264251.00048828,7.0,2.3694997985934663
177,,98535982.42840624,7.0,0.5923188096779164
178,,98600402.56828976,7.0,0.0
179,,98595403.04213381,10.0,-11.846095526901745
180,,98473381.97352743,7.0,0.5923188096779164
181,,98540645.18195105,8.0,1.4807619408696573
182,,98601001.40590477,7.0,-1.184581487362335
183,,98522909.92409563,7.0,-1.1846095526901745
184,,98444581.5203867,8.0,0.0
185,,98432082.70502424,7.0,-2.3692752387061145
186,,98278766.93110704,7.0,1.7770406349981727
187,,98496952.59289694,5.0,-94.76876421529998
188,,99092113.093997,7.0,0.0
189,,99087113.56775093,3.0,35.531552018175
190,,99982696.84356213,7.0,-1.184048498625856
191,,99902828.56783104,7.0,-14.20891846449
192,,98996562.26556063,1.0,-10.659718109675001
193,,98320612.18363523,10.0,71.07994124054999
194,,99200315.67469549,7.0,0.5921644796069713
195,,99273027.9102521,7.0,-1.1843009071754729
196,,99190079.76196575,3.0,8.882467194076815
197,,99423925.627985,10.0,-142.10937685034997
198,,98410125.02551746,2.0,-8.884361155203635
199,,98169173.69065619,0.0,20.7316495285
200,,98731393.47199965,7.0,-11.844692393335
201,,97920853.89110327,7.0,0.0
202,,97915854.36500311,7.0,7.7008743454225
203,,98964217.60946846,7.0,0.0
204,,98959218.08322239,1.0,0.0
205,,98959218.08322239,7.0,1.776577600909324
206,,99198723.53534174,10.0,0.0
207,,99148728.27254534,7.0,-13.027309978915003
208,,98218550.41030645,7.0,6.5153525398025
209,,99141335.36112547,9.0,-106.58708164569998
210,,97576827.53289318,5.0,-35.544181417490606
211,,97320242.50008774,7.0,-13.033793070759998
212,,96371824.42847586,3.0,-100.74193471922499
213,,94913813.94896173,2.0,-41.4986957552625
214,,93713099.43642044,7.0,-1.1860707847033414
215,,93622097.37436724,7.0,-2.3721978412993843
216,,93444618.33627558,7.0,-7.11693117927
217,,92920756.88690901,6.0,-53.38458253255
218,,92106789.45730829,7.0,-5.932887180215
219,,91662286.79769802,7.0,4.1535138727325
220,,92274253.06587219,2.0,0.0
221,,92274253.06587219,9.0,26.696725201687496
222,,93053175.86347818,1.0,-10.676409879240001
223,,92249255.4389143,7.0,0.0
224,,92244255.91352272,7.0,2.373042240150225
225,,92598452.78839636,3.0,41.5242976461625
226,,93855640.18932343,0.0,2.9650362920463635
227,,93945439.28938961,4.0,-47.439455395037456
228,,93586242.8891244,7.0,0.5930494603234582
229,,93671279.68341446,7.0,-7.116424708225001
230,,93124638.95379877,4.0,5.931198101993829
231,,93214912.48780584,10.0,-47.44845911131002
232,,92794333.40480042,7.0,0.5931620281396377
233,,92882217.10110426,0.0,-53.3833159343
234,,92046268.10513735,8.0,-5.932746386952403
235,,91846816.29886103,8.0,8.8995419702375
236,,92398736.28073168,7.0,2.372873312295187
237,,92770965.10147429,2.0,-23.726481125575
238,,92016508.40913773,1.0,-4.746197109567474
239,,91639280.06296968,7.0,5.3399786400825
240,,92485180.30796862,1.0,1.1864085041779493
241,,92674269.14582062,7.0,-1.1863522042410146
242,,92574487.93099451,7.0,0.593190176773062
243,,92664507.37098455,1.0,0.5931761021205073
244,,92759526.33642244,9.0,17.7948608441875
245,,93311760.44603395,0.0,-47.446207861824995
246,,92542118.1300826,4.0,-35.591410606217174
247,,92253502.26160097,7.0,2.9661620236299995
248,,92730715.64846563,7.0,-4.7452962251171025
249,,92338996.73392725,7.0,2.966091640365
250,,92818582.88149309,9.0,-5.93147954824902
251,,92695481.82357693,7.0,-2.372648112558551
252,,92493800.90746832,2.0,-2.9659508838514306
253,,92395460.21214914,7.0,0.0
254,,92390460.68671227,7.0,-14.236902050109999
255,,91199678.05662537,1.0,-1.186746416026452
256,,91100862.79790449,8.0,0.0
257,,91088363.98467875,1.0,4.7470983361425
258,,91883633.15278196,7.0,-1.1865492773932562
259,,91778987.67153311,7.0,-2.373154872087335
260,,91574221.60345316,7.0,-3.5599012720710643
261,,91268860.28378534,7.0,-13.053900742885002
262,,90159923.39914751,7.0,-4.748112625230228
263,,89752542.484406,7.0,-1.0
