,date,value,action,reward
0,,100000000.0,2.0,-44.447078345387496
1,,100000000.0,2.0,-17.785155323687498
2,,100000000.0,8.0,42.986908262968754
3,,100004695.94915093,10.0,-35.55092076884536
4,,99960095.23569041,8.0,4.444181085569432
5,,99967209.77340885,2.0,-41.476074230325
6,,99942324.10778701,2.0,-14.817800327174998
7,,99935657.73288244,2.0,10.37368995115625
8,,99942655.82601583,2.0,-23.707356392687498
9,,99936656.38869853,2.0,31.121807791712495
10,,99948466.42110318,2.0,2.9625065175176157
11,,99949309.74029994,9.0,-47.397857616825
12,,99917611.96370327,2.0,-14.8146392339
13,,99912379.09356007,3.0,-148.16395230302498
14,,99899297.6161738,1.0,-1.1860145168185454
15,,99898826.61598262,4.0,106.74383850842499
16,,99898825.67372073,8.0,38.5299347955
17,,99901735.88580593,7.0,0.5924030236248434
18,,99898760.33924118,2.0,-2.9619449315176904
19,,99898182.69420326,9.0,0.0
20,,99879300.17613077,2.0,-32.582166299375
21,,99867153.54463336,2.0,-68.1441099786625
22,,99848106.0205439,3.0,-11.857613773813558
23,,99847277.06279512,9.0,41.5036167437375
24,,99846156.50074132,2.0,0.0
25,,99846155.80487409,3.0,0.0
26,,99846154.76107329,0.0,-71.12544157045
27,,99843024.40165393,3.0,2.9644034434395117
28,,99843154.55060035,2.0,0.0
29,,99843154.48536278,3.0,0.0
30,,99843154.38750647,6.0,-11.857332574471968
31,,99816294.8100185,2.0,1.482236873309728
32,,99817200.44955972,10.0,-35.57284132138516
33,,99779300.004892,2.0,-8.8938430888863
34,,99773972.64865401,2.0,0.0
35,,99773971.76051483,10.0,-201.60812124945
36,,99711925.95344725,7.0,1.1864085041779493
37,,99716659.9389017,2.0,-5.931761021205073
38,,99713109.08407013,4.0,23.728170083503475
39,,99713105.53262429,3.0,5.931479548249019
40,,99713105.53262429,1.0,-13.048635824435
41,,99713105.53262429,3.0,0.0
42,,99713105.53262429,8.0,0.0
43,,99700642.57757783,6.0,-35.596478321724994
44,,99673078.55960706,2.0,-2.9667956233797588
45,,99671968.73220313,2.0,1.483433020033065
46,,99672799.99311389,2.0,-14.8339781169125
47,,99669680.26800358,2.0,-38.5729206228625
48,,99663597.30337748,1.0,-22.55728362816
49,,99655596.18218057,8.0,7.4235081718
50,,99649894.39609468,3.0,26.721455547374998
51,,99653977.98199107,10.0,65.30515317025
52,,99639741.93860053,3.0,17.8058450654125
53,,99646839.11806902,2.0,1.4836090868053375
54,,99647725.96954021,0.0,0.0
55,,99647725.08165309,10.0,59.3429548044
56,,99630905.17824379,2.0,4.449665385167223
57,,99636226.04632826,2.0,29.66232410240625
58,,99662835.41564569,2.0,31.130665781168748
59,,99683790.32726261,0.0,-53.340287326325
60,,99679298.8480492,4.0,-272.68631588930003
61,,99679297.84966563,2.0,20.75919335705625
62,,99679297.84966563,2.0,2.964614362957474
63,,99679297.84966563,1.0,0.0
64,,99679297.84966563,0.0,0.0
65,,99679297.84966563,0.0,26.680263719575
66,,99679297.84966563,3.0,35.5660936573625
67,,99679297.84966563,2.0,4.444497119962532
68,,99679297.84966563,10.0,29.627873903749997
69,,99641276.0686679,8.0,8.887308922856251
70,,99655456.29747602,2.0,4.443022677186326
71,,99660770.36550981,2.0,4.442706852431089
72,,99664755.91653514,1.0,0.0
73,,99664755.65063977,6.0,56.270286919225
74,,99686253.79827178,2.0,4.440392175439345
75,,99690254.82997534,2.0,11.8402045987375
76,,99698258.00558311,9.0,29.5949049411625
77,,99700703.76732203,8.0,0.0
78,,99697115.84166975,8.0,7.396974933125
79,,99704313.9307992,2.0,-8.875319511505996
80,,99699863.07825121,1.0,0.0
81,,99699862.78144534,3.0,50.29704845084999
82,,99711208.59696634,8.0,36.96824871055
83,,99729531.83791858,2.0,-5.911423234264412
84,,99727895.7023449,2.0,-32.5143654378125
85,,99721148.48406225,2.0,-32.522825109974995
86,,99716088.07035029,10.0,-201.10251496439997
87,,99635849.12867995,2.0,31.065088757399995
88,,99673005.26679349,1.0,-20.10834851316
89,,99645933.15226108,8.0,-14.791499029674998
90,,99632969.21380593,1.0,5.3255698359725
91,,99647418.50714669,1.0,-1.1832079132967355
92,,99645973.22085273,1.0,-7.099415481455001
93,,99638170.12055288,2.0,1.4792549288822343
94,,99639144.82138881,8.0,4.4376597557460595
95,,99635805.1374512,1.0,7.691397467755001
96,,99651261.34958439,1.0,-15.378063783474998
97,,99637350.28284284,2.0,-38.456987338762495
98,,99626916.62592041,3.0,32.550542114475
99,,99631329.83596568,3.0,-5.91673963978856
100,,99631128.79753684,3.0,5.91687967432808
