,date,value,action,reward
0,,100000000.0,3.0,-88.89415669077499
1,,100000000.0,2.0,-17.785155323687498
2,,100000000.0,10.0,171.94763305187502
3,,100018783.79660374,2.0,-8.88773019221134
4,,100013446.30431172,2.0,4.444181085569432
5,,100017447.64387272,2.0,-41.476074230325
6,,100003439.17363597,2.0,-14.817800327174998
7,,99999686.58305404,3.0,20.7473799023125
8,,100002312.295298,3.0,-47.414712785374995
9,,100000811.08388013,0.0,62.24361558342499
10,,100002780.7434597,2.0,2.9625065175176157
11,,100002921.39991212,2.0,-23.6989288084125
12,,100002499.25458772,3.0,-29.6292784678
13,,100002367.29238166,3.0,-148.16395230302498
14,,100002037.49244677,7.0,-1.1860145168185454
15,,99996816.5879528,2.0,26.685959627106246
16,,100000179.03773104,7.0,15.411973918200003
17,,100006109.5478564,1.0,0.5924030236248434
18,,100006474.17955892,9.0,-5.923889863035381
19,,99983955.25742343,9.0,0.0
20,,99973384.68983908,2.0,-32.582166299375
21,,99957970.92831808,8.0,-68.1441099786625
22,,99915072.85745527,2.0,-5.928806886906779
23,,99912607.26098393,2.0,20.75180837186875
24,,99925546.71044478,8.0,0.0
25,,99917929.94546747,10.0,0.0
26,,99895083.4589181,2.0,-35.562720785225
27,,99873762.1537588,1.0,0.5928806886879023
28,,99875360.8072545,1.0,0.0
29,,99875360.4872928,2.0,0.0
30,,99875359.76737896,2.0,-5.928666287235984
31,,99873740.2308223,3.0,2.964473746619456
32,,99874144.17007455,1.0,-3.5572841321385162
33,,99873051.26636487,9.0,-17.7876861777726
34,,99847825.39057761,10.0,0.0
35,,99826709.51047552,2.0,-50.4020303123625
36,,99796513.12785277,1.0,1.1864085041779493
37,,99799709.91103926,9.0,-11.863522042410146
38,,99787637.55784039,3.0,11.864085041751737
39,,99791602.09492981,0.0,5.931479548249019
40,,99792592.7331391,10.0,-130.48635824435
41,,99727106.34166244,2.0,0.0
42,,99727105.15729128,2.0,0.0
43,,99727104.26901291,2.0,-17.798239160862497
44,,99721110.72029299,1.0,-1.1867182493519035
45,,99720211.58805367,3.0,2.96686604006613
46,,99720660.15486015,9.0,-29.667956233825
47,,99693425.56533515,6.0,-77.145841245725
48,,99658798.90781027,8.0,-56.39320907039999
49,,99618143.17147711,9.0,14.8470163436
50,,99625294.99290878,7.0,5.344291109475
51,,99644759.39009179,3.0,32.652576585125
52,,99656883.09676105,7.0,3.5611690130825
53,,99661594.42227723,2.0,1.4836090868053375
54,,99662515.34519392,8.0,0.0
55,,99654911.06999922,0.0,29.6714774022
56,,99661322.68672867,2.0,4.449665385167223
57,,99662765.26841226,3.0,59.3246482048125
58,,99667574.46216734,7.0,12.4522663124675
59,,99672607.95146775,2.0,-26.6701436631625
60,,99669551.10265872,1.0,-27.268631588930003
61,,99662520.80345728,2.0,20.75919335705625
62,,99665730.10394308,1.0,1.1858457451829896
63,,99666142.70207855,8.0,0.0
64,,99654772.98466384,4.0,0.0
65,,99654771.49260454,7.0,5.336052743915
66,,99651916.27917571,2.0,17.78304682868125
67,,99654043.21341452,2.0,4.444497119962532
68,,99654441.94708067,2.0,7.406968475937499
69,,99654940.4084991,9.0,17.774617845712502
70,,99638465.13546398,2.0,4.443022677186326
71,,99641233.68128753,0.0,8.885413704862177
72,,99642617.33852237,7.0,0.0
73,,99638609.57088652,8.0,28.1351434596125
74,,99650089.21470404,4.0,17.76156870175738
75,,99650087.05608632,3.0,23.680409197475
76,,99650087.05608632,9.0,29.5949049411625
77,,99636973.43304539,2.0,0.0
78,,99636972.84292349,2.0,7.396974933125
79,,99640290.17704262,2.0,-8.875319511505996
80,,99638796.84557931,2.0,0.0
81,,99638796.59662165,3.0,50.29704845084999
82,,99641968.8471646,4.0,147.8729948422
83,,99641968.47372809,7.0,-2.364569293705765
84,,99636515.62584704,2.0,-32.5143654378125
85,,99634571.72268608,2.0,-32.522825109974995
86,,99633113.79531536,8.0,-50.27562874109999
87,,99609652.97572044,2.0,31.065088757399995
88,,99620499.75139236,8.0,-50.270871282899996
89,,99594175.61654547,2.0,-14.791499029674998
90,,99590512.97284824,2.0,13.313924589931249
91,,99595456.51592337,1.0,-1.1832079132967355
92,,99594962.0150564,2.0,-17.7485387036375
93,,99592737.00847414,4.0,5.917019715528937
94,,99592736.26651692,7.0,1.775063902298424
95,,99588464.2350105,8.0,19.2284936693875
96,,99587219.66490583,2.0,-38.4451594586875
97,,99579750.83443896,9.0,-76.91397467752499
98,,99541874.13836284,2.0,16.2752710572375
99,,99553964.33380722,1.0,-1.183347927957712
100,,99552974.85606816,1.0,1.183375934865616
101,,99554755.32214701,2.0,4.437449708905028
102,,99556758.12379144,7.0,2.9580897839374996
103,,99557374.33894688,9.0,-94.6476740334
104,,99515786.99383046,3.0,-130.18984045825
105,,99498227.79743764,2.0,2.9604016672929445
106,,99499424.50725514,8.0,20.72183015204375
107,,99504679.34180218,7.0,-10.653409090910001
108,,99491368.67240903,2.0,0.0
109,,99491368.08722967,2.0,1.4799554829414419
110,,99492025.64613216,2.0,13.3192839553
111,,99496466.8020311,6.0,14.796051229824998
112,,99483928.37844661,1.0,-3.5506320125000546
113,,99480082.01627058,1.0,1.18362805671679
114,,99482389.40602061,8.0,-2.9589300508947596
115,,99474593.52528936,2.0,-2.9590000946849706
