,date,value,action,reward
0,,100000000.0,5.0,0.0
1,,100000000.0,5.0,0.0
2,,100000000.0,5.0,0.0
3,,100000000.0,5.0,0.0
4,,100000000.0,5.0,0.0
5,,100000000.0,5.0,0.0
6,,100000000.0,5.0,0.0
7,,100000000.0,2.0,9.627554479031321
8,,100000000.0,5.0,0.0
9,,100000000.0,5.0,0.0
10,,100000000.0,5.0,0.0
11,,100000000.0,5.0,0.0
12,,100000000.0,5.0,0.0
13,,100000000.0,7.0,-27.501429661814385
14,,99989073.91603252,5.0,0.0
15,,99988836.85370883,1.0,9.9066207432413
16,,99992677.21591637,5.0,0.0
17,,99998224.4742906,9.0,2.7489699472150506
18,,99976769.49764635,5.0,0.0
19,,99975478.03459503,7.0,0.0
20,,99973204.52794746,5.0,0.0
21,,99957813.10968581,7.0,-25.297117393471
22,,99921353.98788488,8.0,-5.502372980887961
23,,99913321.48873772,5.0,0.0
24,,99937325.609175,10.0,0.0
25,,99923517.89321779,5.0,0.0
26,,99923517.89321779,5.0,0.0
27,,99895085.5485401,5.0,0.0
28,,99897454.91059656,5.0,0.0
29,,99897454.91059656,5.0,0.0
30,,99897454.91059656,5.0,0.0
31,,99892716.18648362,5.0,0.0
32,,99895085.5485401,2.0,-8.253559471319063
33,,99889753.29863967,5.0,0.0
34,,99884422.2340126,7.0,0.0
35,,99883174.18176043,5.0,0.0
36,,99851958.25016394,5.0,0.0
37,,99855630.71270472,5.0,0.0
38,,99851958.25016394,7.0,2.202150355777585
39,,99858393.2198205,1.0,1.1009706818095628
40,,99861794.01113091,5.0,0.0
41,,99843087.57939205,5.0,0.0
42,,99843087.57939205,1.0,0.0
43,,99843087.23910505,7.0,-6.607234955308585
44,,99831633.52838108,5.0,0.0
45,,99830019.11729245,3.0,2.753471962938404
46,,99830824.70761847,5.0,0.0
47,,99826788.67989689,5.0,0.0
48,,99816295.00782079,5.0,0.0
49,,99800958.1024788,5.0,0.0
50,,99804994.13020039,3.0,24.7994947075406
51,,99808625.74754065,5.0,0.0
52,,99813065.37803438,5.0,0.0
53,,99815486.99466734,5.0,0.0
54,,99815890.5974395,5.0,0.0
55,,99815890.5974395,1.0,5.5074668031925755
56,,99819522.941628,5.0,0.0
57,,99820612.66911282,4.0,110.11535629663572
58,,99820611.94226459,1.0,11.556627668183294
59,,99820611.94226459,5.0,0.0
60,,99820611.94226459,0.0,-126.5365734985151
61,,99820611.94226459,5.0,0.0
62,,99820611.94226459,5.0,0.0
63,,99820611.94226459,5.0,0.0
64,,99820611.94226459,5.0,0.0
65,,99820611.94226459,5.0,0.0
66,,99820611.94226459,5.0,0.0
67,,99820611.94226459,2.0,4.1248233131902845
68,,99820611.94226459,7.0,2.749686673201856
69,,99816804.37386452,5.0,0.0
70,,99818223.96066625,5.0,0.0
71,,99818933.75406712,1.0,1.649264724800404
72,,99819572.52078468,5.0,0.0
73,,99819572.52078468,5.0,0.0
74,,99823618.34316963,5.0,0.0
75,,99824257.1572304,1.0,4.395435581897912
76,,99825790.2683674,5.0,0.0
77,,99827706.71054974,5.0,0.0
78,,99827706.71054974,5.0,0.0
79,,99828664.93164091,5.0,0.0
80,,99828089.99898621,7.0,0.0
81,,99823503.86757559,3.0,46.67939531401392
82,,99826977.96017987,7.0,13.723711818301625
83,,99832922.2549012,7.0,-2.1944958642280885
84,,99827591.02561021,5.0,0.0
85,,99820835.0420363,5.0,0.0
86,,99814079.05846237,5.0,0.0
87,,99803637.99293903,5.0,0.0
88,,99816535.77976197,5.0,0.0
89,,99806094.71423864,5.0,0.0
