,date,value,action,reward
0,,100000000.0,7.0,-0.045334597605785995
1,,99962221.16866185,2.0,-60.06507374911074
2,,99929347.49669899,1.0,-119.98273256806755
3,,99827827.22449443,8.0,-60.056532220984515
4,,99715463.18833205,2.0,-120.0394671723157
5,,99680917.31607465,5.0,-0.019908515630555998
6,,99655995.85532431,8.0,-0.062225088314087997
7,,99613220.5174948,6.0,-120.00702062882344
8,,99599002.07468478,10.0,-30.21227718641094
9,,99448501.11925372,3.0,-359.9764922580798
10,,99608350.18868649,0.0,-240.0105779968716
11,,99514750.83530903,8.0,-30.07075097165607
12,,99464920.54952866,7.0,-120.03111102683228
13,,99431693.31888306,10.0,-60.35735609131636
14,,99195650.2033253,7.0,-360.0254232174202
15,,99131688.66349417,4.0,-59.99028887254787
16,,98699833.5943048,5.0,-0.03698873740368
17,,98397015.63875496,0.0,-0.011289116371650188
18,,98137927.07798886,2.0,-30.050843467134257
19,,97986508.06294987,4.0,-120.144
20,,97475945.09143066,6.0,-360.0198197199118
21,,96877276.7179749,8.0,-30.113418345579518
22,,96939442.90001732,6.0,-120.01342291365285
23,,96833897.56912653,5.0,-0.019921736036994
24,,96857300.81133367,7.0,-0.024
25,,96823827.56041348,1.0,-60.023999999999994
26,,96801827.96019924,5.0,-0.017070105976907998
27,,96813727.19736221,2.0,-0.04515417269429807
28,,96738263.80158603,8.0,-120.04799999999999
29,,96588664.54202726,6.0,-120.012
30,,96508395.21366829,8.0,-30.05369151963575
31,,96435813.06348655,5.0,-0.0014229473983773389
32,,96438924.50535397,0.0,-0.01413437047928311
33,,96389302.2840151,4.0,-30.169614268095987
34,,96299306.55315077,5.0,-0.0
35,,96299306.55315077,0.0,-0.024096487274967
36,,96194363.4725997,1.0,-30.02115261958997
37,,96116825.91320379,4.0,-60.161083471741065
38,,95879600.20899749,9.0,-360.0732209567198
39,,95247983.1358037,7.0,-240.02115288981685
40,,94934405.81810522,5.0,-0.015658362989322
41,,95095083.86218381,0.0,-0.012
42,,94777810.16746005,4.0,-30.143999999999995
43,,94379827.41264427,4.0,-360.1952589287833
44,,93348321.51459742,9.0,-360.10169624759686
45,,89857817.47731304,1.0,-1.0
