,date,value,action,reward
0,,100000000.0,4.0,0.011379126375020242
1,,99956672.98802894,7.0,5.060987998203036e-05
2,,99678318.24709825,8.0,0.06877905322075001
3,,99559549.93397869,3.0,0.00020221887480203528
4,,99337978.57501143,2.0,0.007110689736911091
5,,98853162.01972759,9.0,0.004403877717912139
6,,97608979.98344731,3.0,0.0005620920487322304
7,,97848797.88349485,7.0,0.008298951960925
8,,97101445.95779765,2.0,0.0003597047981631366
9,,96221346.94116259,9.0,0.09958978493347999
10,,95643361.48507977,2.0,0.004740010428028185
11,,95708807.02426767,0.0,2.2465569066648156e-05
12,,94691970.66858071,2.0,0.00014046306280358987
13,,94587890.53511518,2.0,0.0035124090819284902
14,,94312983.91199833,5.0,1.4066304341043276e-06
15,,94303879.40488434,8.0,0.04269753540337
16,,94133111.76942605,8.0,0.061647895672800004
17,,94032993.85836458,2.0,0.0023696120944993737
18,,93992848.6476062,2.0,5.614795377499735e-06
19,,93941208.15024483,2.0,0.0
20,,93894237.54616971,6.0,4.2463902430405126e-05
21,,93844765.5515819,6.0,0.00018574478899136202
22,,93818694.47434615,9.0,8.998592282171713e-05
23,,93730227.31954803,1.0,0.016601446697495
24,,93679500.05411871,4.0,0.0
25,,93561981.39697623,10.0,0.0
26,,92997564.98218822,9.0,0.0032376502006985575
27,,93831709.75254941,6.0,0.0005928806886879023
28,,92800847.3908925,6.0,0.0
29,,92626028.40941583,4.0,0.0
30,,92315864.62309337,10.0,0.000202458723525553
31,,91018741.43405151,6.0,0.0005928947493238912
32,,90291374.87142634,10.0,0.0004555537342835212
33,,89146137.88495612,1.0,-1.0
