,date,value,action,reward
0,,100000000.0,1.0,-17.778831338155
1,,100000000.0,8.0,-17.785155323687498
2,,99983944.15461229,9.0,85.97381652593751
3,,100010528.36972705,3.0,-17.77546038442268
4,,100005192.31695913,3.0,8.888362171138864
5,,100010528.36972705,7.0,-16.59042969213
6,,99977309.17821725,10.0,-59.27120130869999
7,,99905381.22767946,7.0,4.149475980462499
8,,99932747.26142493,3.0,-47.414712785374995
9,,99895758.05054533,10.0,124.48723116684998
10,,99992654.36394173,8.0,2.9625065175176157
11,,99995330.22498238,7.0,-9.479571523365001
12,,99927736.08050418,6.0,-29.6292784678
13,,99857690.95861739,2.0,-74.08197615151249
14,,99632453.49747217,6.0,-5.930072584092727
15,,99597260.35653853,2.0,26.685959627106246
16,,99780779.58986586,7.0,15.411973918200003
17,,100047028.19067597,7.0,0.5924030236248434
18,,100052698.24606156,1.0,-1.1847779726070762
19,,100042028.66459846,9.0,0.0
20,,100017031.03421056,1.0,-13.03286651975
21,,99886632.77159637,6.0,-136.288219957325
22,,99561726.58509612,9.0,-11.857613773813558
23,,99508278.42893112,9.0,41.5036167437375
24,,99699035.94107854,1.0,0.0
25,,99699035.94107854,7.0,0.0
26,,99694036.41524816,8.0,-35.562720785225
27,,99486647.06127048,8.0,1.4822017217197558
28,,99490982.0060041,9.0,0.0
29,,99465984.3774705,7.0,0.0
30,,99460984.85176384,7.0,-2.3714665148943936
31,,99418997.75499189,9.0,2.964473746619456
32,,99413679.7016021,3.0,-17.78642066069258
33,,99354640.97650838,9.0,-17.7876861777726
34,,99267047.08587062,7.0,0.0
35,,99262047.56024265,7.0,-20.160812124945
36,,98894271.5565654,7.0,1.1864085041779493
37,,98932426.18018341,7.0,-2.3727044084820292
38,,98883797.96478808,2.0,5.932042520875869
39,,98971055.34466052,7.0,1.1862959096498038
40,,99010159.02747905,7.0,-13.048635824435
41,,98759982.12915945,7.0,0.0
42,,98754982.6037792,6.0,0.0
43,,98729984.97687769,3.0,-35.596478321724994
44,,98587708.70963573,8.0,-2.9667956233797588
45,,98550903.82602239,10.0,5.93373208013226
46,,98527588.13617158,8.0,-14.8339781169125
47,,98378724.71144795,10.0,-154.29168249145
48,,97943323.13263679,8.0,-56.39320907039999
49,,97356259.50891733,7.0,2.9694032687200003
50,,97503649.01136756,7.0,5.344291109475
51,,97775087.45208168,2.0,16.3262882925625
52,,98112956.07678437,8.0,8.90292253270625
53,,98288310.40996456,9.0,2.967218173610675
54,,98295808.52869582,8.0,0.0
55,,98283309.71555495,7.0,5.93429548044
56,,98611575.65353847,7.0,1.7798661540668892
57,,98707267.71360302,6.0,59.3246482048125
58,,99377277.18209505,6.0,62.261331562337496
59,,100106941.53686142,7.0,-10.668057465264999
60,,99776381.83540154,7.0,-27.268631588930003
61,,98933941.46790957,5.0,-166.07354685645
62,,99443688.06722283,7.0,1.1858457451829896
63,,99511983.82261825,8.0,0.0
64,,99499485.00840783,7.0,0.0
65,,99494485.48272371,7.0,5.336052743915
66,,99828919.61673546,3.0,35.5660936573625
67,,100281497.82966352,5.0,-35.55597695970025
68,,100394642.38289571,7.0,2.962787390375
69,,100579402.22728443,1.0,3.5549235691425003
70,,100807113.4716959,7.0,1.7772090708745303
71,,100916680.4514525,7.0,1.7770827409724355
72,,101026958.26427174,7.0,0.0
73,,101021958.73812675,3.0,56.270286919225
74,,101756550.17430663,7.0,1.776156870175738
75,,101868249.23219872,2.0,11.8402045987375
76,,102179445.45686579,4.0,59.189809882325
77,,102568440.73769951,10.0,0.0
78,,102518445.47176337,7.0,2.9587899732500005
79,,102720962.26146889,7.0,-3.5501278046023987
80,,102590742.9194789,7.0,0.0
81,,102585743.3928628,2.0,25.148524225424996
82,,103299346.11033487,7.0,14.787299484220002
83,,104349677.26431036,7.0,-2.364569293705765
84,,104259778.36890268,7.0,-13.005746175125
85,,103785231.16683698,0.0,-65.04565021994999
86,,103315683.49183488,4.0,-201.10251496439997
87,,102590018.90319514,1.0,12.42603550296
88,,103486428.1009264,8.0,-50.270871282899996
89,,102738210.52087426,7.0,-5.91659961187
90,,102515639.80283976,3.0,26.627849179862498
91,,102907267.94729209,7.0,-1.1832079132967355
92,,102858517.54072022,4.0,-70.99415481455
93,,102596012.26158929,7.0,0.5917019715528937
94,,102635000.29559469,7.0,1.775063902298424
95,,102762673.47643757,7.0,7.691397467755001
96,,103335665.57454085,6.0,-76.890318917375
97,,102717298.25182652,7.0,-15.382794935505002
98,,102115852.47758579,7.0,6.510108422895
99,,102618142.28081203,7.0,-1.183347927957712
100,,102566788.87276888,7.0,1.183375934865616
101,,102654970.45925784,7.0,1.7749798835620114
102,,102790452.5942471,7.0,2.9580897839374996
103,,103020772.40622377,9.0,-94.6476740334
104,,102223823.35382557,8.0,-65.094920229125
105,,101136872.35276246,1.0,1.1841606669171778
106,,101234549.82409024,4.0,82.887320608175
107,,101918292.1233859,10.0,-106.53409090909999
108,,101407441.41907692,7.0,0.0
109,,101402441.89266253,1.0,0.5919821931765767
110,,101453884.84544611,0.0,26.6385679106
111,,101916871.42049932,1.0,2.959210245965
112,,102174086.18441772,6.0,-17.75316006250027
113,,101991209.06114197,3.0,5.91814028358395
114,,102096462.05471754,7.0,-1.1835720203579039
115,,102038599.31695461,7.0,-1.1836000378739884
116,,101980499.85919476,7.0,-1.18362805671679
117,,101922163.67583513,2.0,1.479570096107885
118,,101975500.3326459,7.0,0.0
119,,101970500.80609751,10.0,-23.672561134391316
120,,101808624.26353836,7.0,-2.3673681967761877
121,,101691269.98630142,6.0,-59.18700726814999
122,,101092661.19877529,7.0,2.36804091974796
123,,101318053.35075426,3.0,0.0
124,,101318053.35075426,9.0,-17.758624772101772
125,,101116710.23483849,8.0,-32.559791617325
126,,100451099.3534894,0.0,5.921504535877365
127,,100569847.0017333,7.0,-10.658203263779999
128,,100028351.41768026,8.0,4.4418648725425
129,,100196461.3673768,7.0,-7.106478739780001
130,,99828823.01499557,7.0,-7.10748892416
131,,99459763.16489744,1.0,-2.3694997985934663
132,,99338409.72358704,3.0,2.962015118124217
133,,99399086.444242,1.0,1.7771669589106143
134,,99581116.60620785,7.0,3.5540812699900006
135,,99941599.0365243,3.0,0.0
136,,99941599.0365243,10.0,5.922626803434028
137,,99954886.48475361,6.0,-59.2248649673
138,,99285216.77947569,7.0,0.0
139,,99280217.25338697,7.0,0.0
140,,99275217.72729826,9.0,0.0
141,,99250220.09685421,8.0,11.84777972608125
142,,99771467.56623411,4.0,-23.69106846716873
143,,99638030.99508381,3.0,14.8076194086375
144,,99971622.4229598,5.0,-59.22346196664999
145,,99638030.99508381,2.0,-2.9615238817254363
146,,99571312.70950842,0.0,-41.462316677299995
147,,99104284.71048212,1.0,-7.109004739335
148,,98703974.99703074,7.0,-7.110015642035
149,,98297243.75445175,3.0,-47.406845548475
150,,97761601.46567869,7.0,-1.185395922237431
151,,97689409.57455635,7.0,0.0
152,,97684410.0487256,8.0,5.927120130866381
153,,97943999.88254738,6.0,0.0
154,,97919002.25317049,3.0,14.8163952302875
155,,98265039.62175941,7.0,-2.3703422774246086
156,,98121151.0799365,7.0,-26.075001185225
157,,96583157.37898874,7.0,5.336305853334999
158,,97207426.35636568,7.0,7.7063524055674995
159,,98114452.76484346,0.0,5.926136632999901
160,,98254764.44703484,6.0,0.0
161,,98229766.81737709,4.0,5.925855693589277
162,,98301107.8296113,3.0,35.554291402975
163,,99157199.97642136,3.0,-11.848060472496869
164,,99014517.95195293,8.0,-47.394488021037496
165,,97851084.04346418,1.0,8.889837138179999
166,,98930085.69348097,4.0,-11.848902791600224
167,,98858152.25014639,1.0,0.0
168,,98858152.25014639,2.0,-14.8114794890625
169,,98498485.03347445,7.0,-10.665529010235
170,,97843951.41168594,3.0,0.0
171,,97843951.41168594,7.0,5.3339022829100005
172,,98490619.5425353,7.0,5.925293894575001
173,,99212065.30825567,7.0,-2.3695559452141524
174,,99061302.81263876,7.0,0.0
175,,99056303.28657246,7.0,1.7772511848368477
176,,99271370.01574707,8.0,5.923749496483664
177,,99554662.37394953,8.0,1.480797024194791
178,,99616703.67075968,3.0,0.0
179,,99616703.67075968,7.0,-1.1846095526901745
180,,99536927.11052036,7.0,0.5923188096779164
181,,99606941.54598236,8.0,1.4807619408696573
182,,99670048.99697542,3.0,-5.922907436811675
183,,99594442.73059177,0.0,-5.923047763450873
184,,99518836.46420813,7.0,0.0
185,,99513836.93806362,7.0,-2.3692752387061145
186,,99356677.16905594,3.0,8.885203174990863
187,,99584917.53334999,7.0,4.738438210765
188,,100190454.35392857,7.0,0.0
189,,100185454.8276825,7.0,7.106310403635001
190,,101101944.86986208,7.0,-1.184048498625856
191,,101019917.73641253,7.0,-14.20891846449
192,,100087745.1415286,8.0,-26.649295274187498
193,,99374536.66550112,6.0,35.53997062027499
194,,100298034.57033491,3.0,2.960822398034856
195,,100377075.8649602,7.0,-1.1843009071754729
196,,100292798.18387365,7.0,1.7764934388153633
197,,100526343.71940088,6.0,-71.05468842517499
198,,99532954.90302324,2.0,-8.884361155203635
199,,99290857.10680628,7.0,4.1463299057
200,,99852410.97047424,7.0,-11.844692393335
201,,99035680.52035284,7.0,0.0
202,,99030680.9942522,7.0,7.7008743454225
203,,100087092.36871052,3.0,0.0
204,,100087092.36871052,9.0,0.0
205,,100062094.73748064,9.0,8.882888004546619
206,,100289144.39370632,7.0,0.0
207,,100284144.8674264,7.0,-13.027309978915003
208,,99349761.02981758,7.0,6.5153525398025
209,,100276751.95600605,9.0,-106.58708164569998
210,,98705361.62262392,7.0,-3.5544181417490606
211,,98441919.09592056,10.0,-130.3379307076
212,,97418231.91371298,2.0,-50.37096735961249
213,,95913435.30734253,7.0,-16.599478302105
214,,94665871.62188339,7.0,-1.1860707847033414
215,,94571880.2993164,2.0,-5.9304946032484605
216,,94393896.70532703,7.0,-7.11693117927
217,,93853523.01158428,7.0,-10.67691650651
218,,93043326.85050535,7.0,-5.932887180215
219,,92589809.28347349,9.0,20.7675693636625
220,,93201043.94298315,1.0,0.0
221,,93201043.94298315,0.0,26.696725201687496
222,,94019056.88222075,7.0,-10.676409879240001
223,,93193909.13551426,7.0,0.0
224,,93188909.61012268,8.0,5.932605600375562
225,,93544243.37631893,7.0,8.3048595292325
226,,94829979.82355785,8.0,1.4825181460231818
227,,94910269.44345045,8.0,-11.859863848759364
228,,94524244.92115498,10.0,5.930494603234582
229,,94570003.2904625,7.0,-7.116424708225001
230,,93989058.73047781,8.0,1.4827995254984572
231,,94073143.87559652,7.0,-4.7448459111310015
232,,93680859.54538298,6.0,2.9658101406981885
233,,93753869.4432621,1.0,-10.676663186859999
234,,92871801.7161851,8.0,-5.932746386952403
235,,92662101.3029952,3.0,17.799083940475
236,,93253706.10221243,7.0,2.372873312295187
237,,93644058.92558956,7.0,-9.49059245023
238,,92846456.58402348,7.0,-4.746197109567474
239,,92444206.41117334,8.0,13.34994660020625
240,,93330861.53328276,3.0,5.9320425208897465
241,,93530673.51893759,8.0,-2.9658805106025357
242,,93417675.53635979,7.0,0.593190176773062
243,,93513412.45591211,7.0,0.5931761021205073
244,,93609386.64589405,7.0,3.5589721688375002
245,,94211653.00193787,7.0,-9.489241572365
246,,93395067.78606606,8.0,-8.897852651554294
247,,93076444.76804161,7.0,2.9661620236299995
248,,93582838.7147789,1.0,-4.7452962251171025
249,,93173723.9370575,7.0,2.966091640365
250,,93681304.32044029,7.0,-1.186295909649804
251,,93573551.55401516,0.0,-11.863240562792754
252,,93368045.07212734,7.0,-1.1863803535405726
253,,93260055.029665,9.0,0.0
254,,93235057.40248203,7.0,-14.236902050109999
255,,91977087.39041424,7.0,-1.186746416026452
256,,91867436.30860996,7.0,0.0
257,,91862436.78332043,1.0,4.7470983361425
258,,92701548.0746746,10.0,-11.865492773932562
259,,92544290.81089783,7.0,-2.373154872087335
260,,92324292.63460541,6.0,-17.79950636035532
261,,91973237.13021755,9.0,-65.269503714425
262,,90739640.05150604,7.0,-4.748112625230228
263,,90294200.19392014,7.0,-16.61997245833
264,,88744335.51089478,7.0,-1.0
