,date,value,action,reward
0,,100000000.0,2.0,-44.447078345387496
1,,100000000.0,6.0,-35.570310647374995
2,,99967888.30922458,1.0,17.1947633051875
3,,99998834.24223381,6.0,-17.77546038442268
4,,99979936.2584734,9.0,8.888362171138864
5,,99979201.04815423,8.0,-41.476074230325
6,,99947727.78228892,3.0,-29.635600654349997
7,,99942411.87007502,4.0,41.494759804625
8,,99942409.74349803,2.0,-23.707356392687498
9,,99942409.74349803,8.0,31.121807791712495
10,,99942359.68105508,2.0,2.9625065175176157
11,,99943248.06709844,2.0,-23.6989288084125
12,,99940581.79755992,2.0,-14.8146392339
13,,99939331.92119703,10.0,-296.32790460604997
14,,99835408.51886037,6.0,-5.930072584092727
15,,99833051.03741553,1.0,10.6743838508425
16,,99871422.77264094,2.0,38.5299347955
17,,99912991.59950599,3.0,2.962015118124217
18,,99913789.42088938,9.0,-5.923889863035381
19,,99895663.36648658,2.0,0.0
20,,99895662.57435718,0.0,-65.16433259875
21,,99889129.58453175,6.0,-136.288219957325
22,,99836366.0585885,2.0,-5.928806886906779
23,,99834144.26625627,2.0,20.75180837186875
24,,99845804.23167625,9.0,0.0
25,,99829626.97807544,1.0,0.0
26,,99829626.6579068,1.0,-14.22508831409
27,,99814073.94878273,2.0,1.4822017217197558
28,,99815045.32675195,6.0,0.0
29,,99800340.0623284,9.0,0.0
30,,99792991.10643272,3.0,-11.857332574471968
31,,99790970.94483727,2.0,1.482236873309728
32,,99791727.24346587,10.0,-35.57284132138516
33,,99750690.91454309,6.0,-17.7876861777726
34,,99743600.85565946,9.0,0.0
35,,99743605.09561068,0.0,-100.804060624725
36,,99723491.89964734,4.0,11.864085041779493
37,,99723489.53248449,2.0,-5.931761021205073
38,,99723489.53248449,2.0,5.932042520875869
39,,99723489.53248449,7.0,1.1862959096498038
40,,99718977.03748503,7.0,-13.048635824435
41,,99709545.3913456,1.0,0.0
42,,99709545.30139583,2.0,0.0
43,,99709545.09900889,2.0,-17.798239160862497
44,,99708179.51799661,0.0,-5.9335912467595175
45,,99708065.50454277,0.0,2.96686604006613
46,,99708122.28358436,2.0,-14.8339781169125
47,,99707908.90680774,2.0,-38.5729206228625
48,,99707492.85624614,3.0,-112.78641814079998
49,,99707188.80287768,2.0,7.4235081718
50,,99707248.79908697,2.0,13.360727773687499
51,,99707329.79877228,1.0,6.530515317025
52,,99707418.90322883,3.0,17.8058450654125
53,,99707443.19683082,2.0,1.4836090868053375
54,,99707446.232518,9.0,0.0
55,,99682553.72789422,1.0,5.93429548044
56,,99693217.6425597,2.0,4.449665385167223
57,,99695616.54323265,1.0,11.8649296409625
58,,99710012.9880733,7.0,12.4522663124675
59,,99725116.50875805,7.0,-10.668057465264999
60,,99712704.77742252,2.0,-68.17157897232501
61,,99694896.61734898,4.0,83.036773428225
62,,99694895.06808399,9.0,5.929228725914948
63,,99672338.16411498,4.0,0.0
64,,99672335.79847741,1.0,0.0
65,,99672335.79847741,0.0,26.680263719575
66,,99672335.79847741,0.0,35.5660936573625
67,,99672335.79847741,2.0,4.444497119962532
68,,99672335.79847741,8.0,7.406968475937499
69,,99662831.01713109,7.0,3.5549235691425003
70,,99663700.78247869,10.0,17.772090708745303
71,,99637156.96125986,2.0,4.442706852431089
72,,99642469.47675808,7.0,0.0
73,,99641225.39146721,6.0,56.270286919225
74,,99675441.47947574,4.0,17.76156870175738
75,,99675437.28641595,2.0,11.8402045987375
76,,99675437.28641595,2.0,14.79745247058125
77,,99675437.28641595,2.0,0.0
78,,99675437.28641595,0.0,14.79394986625
79,,99675437.28641595,0.0,-17.750639023011992
80,,99675437.28641595,7.0,0.0
81,,99670453.98639917,7.0,10.05940969017
82,,99673589.40306768,4.0,147.8729948422
83,,99673588.50613268,1.0,-2.364569293705765
84,,99673588.50613268,2.0,-32.5143654378125
85,,99673588.50613268,2.0,-32.522825109974995
86,,99673588.50613268,2.0,-50.27562874109999
87,,99673588.50613268,2.0,31.065088757399995
88,,99673588.50613268,7.0,-20.10834851316
89,,99664596.75579013,1.0,-5.91659961187
90,,99663535.62382504,0.0,26.627849179862498
91,,99664490.38780595,7.0,-1.1832079132967355
92,,99659400.46511705,1.0,-7.099415481455001
93,,99657611.13442546,2.0,1.4792549288822343
94,,99657834.64329422,2.0,4.4376597557460595
95,,99658337.7620188,10.0,76.91397467755
96,,99642717.45174716,9.0,-76.890318917375
97,,99612075.6643415,2.0,-38.456987338762495
98,,99589084.46657492,9.0,32.550542114475
99,,99605556.89878112,2.0,-2.95836981989428
100,,99604008.5989953,2.0,2.95843983716404
101,,99606328.72661196,2.0,4.437449708905028
102,,99608939.16043845,7.0,2.9580897839374996
103,,99610893.03506121,2.0,-47.3238370167
104,,99598664.21273255,2.0,-65.094920229125
105,,99586053.38307829,9.0,5.920803334585889
